dataset,video_id,question_id,type,subtype,question,templ_values,answer,multiple choice,Number of answer alternatives
train,199,7719,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""computer"", ""bass""]",no,yes/no,2
train,212,8174,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""tsabouna""]",no,yes/no,2
train,208,8024,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""bass""]",no,yes/no,2
train,207,7992,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""double bass""]",no,yes/no,2
train,184,7121,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""violin""]",no,yes/no,2
train,51,1924,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""computer"", ""guitar""]",no,yes/no,2
train,181,7007,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,256,9764,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""violin""]",no,yes/no,2
train,160,6270,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,271,10352,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,247,9354,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,155,6070,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""bass""]",no,yes/no,2
train,198,7686,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""computer"", ""bass""]",no,yes/no,2
train,186,7203,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""clarinet"", ""pipe""]",no,yes/no,2
train,269,10276,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,228,8603,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,5,201,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""drums"", ""bass""]",no,yes/no,2
train,273,10428,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,190,7355,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""double bass"", ""voice""]",no,yes/no,2
train,282,10746,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""organ"", ""piano""]",no,yes/no,2
train,165,6447,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""bass""]",no,yes/no,2
train,153,6001,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""accordion"", ""bass""]",no,yes/no,2
train,278,10600,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""harp""]",no,yes/no,2
