modality,subcategory,testacc_pct,uniform_pct,uniform_questions
Audio,Existential,39.0244,41.6376,41
Audio,Counting,48.0000,43.3333,100
Audio,Temporal,7.1429,2.1739,14
Audio,Causal,66.6667,33.3333,3
Audio,Comparative,61.2903,50.0000,62
Audio-Visual,Existential,53.1429,40.7226,175
Audio-Visual,Counting,32.1053,10.2193,190
Audio-Visual,Location,51.8519,32.3001,54
Audio-Visual,Temporal,34.0659,19.1591,91
Audio-Visual,Causal,62.5000,41.6667,48
Audio-Visual,Purpose,51.4286,35.5556,35
Audio-Visual,Comparative,86.6667,50.0000,60
Visual,Existential,83.3333,50.0000,6
Visual,Counting,42.1875,26.1068,128
Visual,Location,45.5556,25.8744,90
Visual,Temporal,53.4483,50.0000,58
Visual,Causal,60.7143,20.0000,28


